sep=;
CNAE;CNAE_numerico;Secao;Secao_descricao;Divisao;Grupo;Classe;Subclasse;Atividade;CBMPE_nivel;CBMPE_descricao;Anexo;Nivel_de_risco;Descricao_do_nivel;Dispensa_licenciamento_previo;Pagina_DOE;Alterado_por_errata
0111-3/01;0111301;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0111-3;01;Cultivo de arroz;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;7;Não
0111-3/02;0111302;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0111-3;02;Cultivo de milho;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;7;Não
0111-3/03;0111303;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0111-3;03;Cultivo de trigo;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;7;Não
0111-3/99;0111399;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0111-3;99;Cultivo de outros cereais não especificados anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;7;Não
0112-1/01;0112101;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0112-1;01;Cultivo de algodão herbáceo;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;7;Não
0112-1/02;0112102;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0112-1;02;Cultivo de juta;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;7;Não
0112-1/99;0112199;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0112-1;99;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;7;Não
0113-0/00;0113000;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0113-0;00;Cultivo de cana-de-açúcar;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;7;Não
0114-8/00;0114800;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0114-8;00;Cultivo de fumo;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;8;Não
0115-6/00;0115600;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0115-6;00;Cultivo de soja;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;8;Não
0116-4/01;0116401;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0116-4;01;Cultivo de amendoim;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;8;Não
0116-4/02;0116402;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0116-4;02;Cultivo de girassol;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;8;Não
0116-4/03;0116403;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0116-4;03;Cultivo de mamona;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;8;Não
0116-4/99;0116499;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0116-4;99;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;8;Não
0119-9/01;0119901;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0119-9;01;Cultivo de abacaxi;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;8;Não
0119-9/02;0119902;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0119-9;02;Cultivo de alho;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;8;Não
0119-9/03;0119903;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0119-9;03;Cultivo de batata-inglesa;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;9;Não
0119-9/04;0119904;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0119-9;04;Cultivo de cebola;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;9;Não
0119-9/05;0119905;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0119-9;05;Cultivo de feijão;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;9;Não
0119-9/06;0119906;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0119-9;06;Cultivo de mandioca;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;9;Não
0119-9/07;0119907;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0119-9;07;Cultivo de melão;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;9;Não
0119-9/08;0119908;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0119-9;08;Cultivo de melancia;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;9;Não
0119-9/09;0119909;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;011;0119-9;09;Cultivo de tomate rasteiro;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;9;Não
